project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Hospital Development,Health Department,Maharashtra,Aurangabad,63208874.42,56752887.67,43687605.52,83.05,87,57,0.6552,54,1050979.4,3116830.58,6.51,14,Completed,352,1,29,10,51,28.35,0.03,0,87904.79,95067.12,88016.34,0.0802,0.8979,0.0753,0
Housing Scheme,Housing Department,Karnataka,Belagavi,31494266.42,28518362.4,27530991.28,43.95,109,62,0.5688,50,570367.25,3227233.68,3.55,4,Completed,70,1,38,6,70,40.0,0.19,0,107034.92,111555.7,98147.52,0.1253,0.9055,0.1559,0
Welfare Distribution,Social Welfare Department,Kerala,Thiruvananthapuram,99604295.16,118898407.83,90015121.37,28.15,440,638,1.45,48,2477050.16,13421007.01,5.77,99,Completed,118,0,0,6,44,168.12,0.49,1,73051.68,108892.37,34046.92,1.0246,1.1937,0.7902,1
Housing Scheme,Housing Department,Rajasthan,Jodhpur,59119641.83,40255143.1,38312119.42,53.1,876,268,0.3059,6,6709190.52,13970763.49,3.6,8,Completed,320,1,31,12,77,41.92,0.2,0,118317.67,112593.71,104365.22,0.0695,0.6809,0.0801,0
Hospital Development,Health Department,Maharashtra,Nagpur,28079126.98,32120404.84,28677734.34,26.47,671,988,1.4724,116,276900.04,1508916.46,2.87,11,Pending,264,0,4,38,59,202.68,0.85,1,161461.2,267368.15,68955.22,1.2289,1.1439,0.8247,1
Bridge Construction,Public Works Department,Gujarat,Vadodara,30471786.85,28231816.57,17693030.1,38.11,983,1222,1.2431,119,237242.16,1058763.15,3.15,70,Pending,92,0,8,29,7,183.51,0.82,0,224154.44,418394.67,122556.16,1.3198,0.9265,0.6331,1
School Building,Education Department,Gujarat,Bhavnagar,729143.47,728191.75,703034.38,35.68,559,170,0.3041,19,38325.88,185432.86,4.25,2,Completed,354,1,46,11,83,7.12,0.04,0,219553.73,215785.95,204410.59,0.0518,0.9987,0.1646,0
Hospital Development,Health Department,Madhya Pradesh,Gwalior,93156831.31,33698042.4,24627922.14,94.22,88,47,0.5341,31,1087033.63,2759101.22,0.52,2,Completed,110,1,45,1,53,15.9,0.18,0,153712.52,169896.28,152940.84,0.1103,0.3617,0.0178,0
Water Pipeline,Water Resources Department,Rajasthan,Kota,80300393.39,24261920.45,22293045.84,92.89,200,146,0.73,26,933150.79,4543523.47,0.93,3,Completed,276,1,22,4,93,43.13,0.05,0,185343.79,203323.35,178454.85,0.1342,0.3021,0.0104,0
Welfare Distribution,Social Welfare Department,Kerala,Thiruvananthapuram,90566203.22,20545040.81,15112058.81,42.09,283,156,0.5512,48,428021.68,1978430.3,3.73,3,Failed,266,0,6,0,4,12.75,0.21,0,16997.15,17522.76,17298.63,0.0132,0.2269,0.1695,0
Hospital Development,Health Department,Gujarat,Ahmedabad,28797696.32,11524093.9,10095045.25,87.13,241,103,0.4274,33,349214.97,1190889.37,7.22,1,Completed,294,1,52,2,18,26.86,0.03,0,15692.0,16533.95,13483.51,0.1944,0.4002,0.0839,0
Housing Scheme,Housing Department,Gujarat,Bhavnagar,12697084.39,6043972.17,4786112.21,65.17,242,166,0.686,33,183150.67,500577.0,4.17,13,Completed,293,1,75,6,99,16.98,0.09,0,131513.72,119431.31,129566.76,-0.0771,0.476,0.0803,0
Water Pipeline,Water Resources Department,Uttar Pradesh,Varanasi,81140082.99,61812078.62,50033577.11,88.9,764,753,0.9856,12,5151006.55,7511324.3,4.88,0,Completed,270,1,11,0,43,4.39,0.2,0,64185.72,65949.99,57325.43,0.1344,0.7618,0.0,0
Housing Scheme,Housing Department,Kerala,Kozhikode,23188736.71,31338776.14,15793989.11,15.14,280,283,1.0107,131,239227.3,544182.72,1.74,87,Completed,33,0,3,14,3,104.31,0.38,1,187916.83,231381.24,128533.53,0.5473,1.3515,0.7347,1
Welfare Distribution,Social Welfare Department,Maharashtra,Nagpur,93116123.43,42525290.74,38960754.71,35.59,839,171,0.2038,12,3543774.23,8542495.51,0.9,4,Completed,185,1,11,6,92,11.01,0.13,0,117828.45,118373.55,104273.96,0.1197,0.4567,0.04,0
Electricity Infrastructure,Energy Department,Tamil Nadu,Salem,57167736.16,42100712.67,31280156.48,61.09,74,42,0.5676,34,1238256.26,1948233.56,4.5,8,Completed,118,1,77,1,93,28.32,0.11,0,136139.04,134891.27,124218.26,0.0784,0.7364,0.0739,0
Electricity Infrastructure,Energy Department,Madhya Pradesh,Ujjain,53732620.25,45219864.14,33780906.62,78.35,1031,1131,1.097,38,1189996.42,5954582.44,8.47,12,Completed,94,1,16,8,46,6.0,0.08,1,197183.19,197095.89,203708.13,-0.0335,0.8416,0.1911,0
School Building,Education Department,Uttar Pradesh,Agra,56692886.58,71387165.35,41589057.3,24.48,497,860,1.7304,125,571097.32,1855839.6,7.81,57,Completed,202,0,6,72,48,139.08,0.52,0,130353.61,160482.59,49293.21,0.853,1.2592,0.8406,1
Water Pipeline,Water Resources Department,Rajasthan,Jodhpur,6914870.73,9206169.35,7807852.16,21.4,971,1891,1.9475,66,139487.41,344346.05,5.93,19,Failed,360,1,14,35,59,108.71,0.81,1,195618.58,363154.03,118134.1,1.2525,1.3314,0.91,1
Bridge Construction,Public Works Department,Karnataka,Bengaluru,65112396.02,24027009.35,20260404.97,46.31,240,79,0.3292,9,2669667.71,11665307.12,2.58,8,Completed,246,1,30,11,98,30.8,0.05,0,219606.34,217287.26,220831.98,-0.0161,0.369,0.0222,0
Water Pipeline,Water Resources Department,Kerala,Kollam,96671313.81,82143032.07,61515428.73,42.36,453,339,0.7483,23,3571436.18,13069623.84,7.02,11,Completed,326,1,76,1,65,31.74,0.14,0,126860.81,128225.66,125711.46,0.0198,0.8497,0.1724,0
Road Construction,Public Works Department,Gujarat,Ahmedabad,43575563.86,33183099.57,28758889.28,30.16,958,1445,1.5084,128,259242.97,681606.03,8.08,96,Pending,284,0,4,58,29,30.66,0.74,1,62009.83,117118.33,41329.21,1.2222,0.7615,0.8434,1
Housing Scheme,Housing Department,Tamil Nadu,Chennai,54948211.89,46158191.52,34207661.79,50.36,282,277,0.9823,108,427390.66,1436396.74,7.41,41,Failed,275,0,4,23,93,198.03,0.85,1,242350.79,352572.08,196212.7,0.6452,0.84,0.5625,0
Electricity Infrastructure,Energy Department,Telangana,Khammam,25833289.02,25059336.97,14356146.27,17.19,203,175,0.8621,152,164864.06,887434.39,2.0,14,Completed,235,0,7,57,96,187.1,0.45,1,161392.46,264689.81,79754.95,1.1459,0.97,0.7561,1
Road Construction,Public Works Department,Gujarat,Rajkot,87929094.26,128816430.81,109533562.0,37.5,652,884,1.3558,142,907157.96,3793932.15,8.44,36,Pending,350,0,1,63,6,88.27,0.8,1,231754.92,334413.7,103645.85,0.9957,1.465,0.9127,1
Bridge Construction,Public Works Department,Kerala,Kozhikode,54064922.73,59967907.24,44968584.04,54.7,133,198,1.4887,150,399786.05,1227059.17,4.01,43,Pending,284,1,44,50,68,114.5,0.27,1,80553.06,133648.11,50861.32,1.0277,1.1092,0.7581,1
Electricity Infrastructure,Energy Department,Uttar Pradesh,Varanasi,63178029.96,33821898.34,29131586.32,97.09,233,157,0.6738,37,914105.36,3142667.76,6.67,9,Completed,186,1,38,7,83,30.67,0.12,0,38749.88,41155.86,38551.82,0.0672,0.5353,0.0207,0
School Building,Education Department,Telangana,Hyderabad,62049412.03,49844589.28,49058028.47,57.47,741,399,0.5385,20,2492229.46,7258758.21,8.7,8,Completed,345,1,48,3,18,11.77,0.03,0,210284.64,196716.31,191612.35,0.0243,0.8033,0.098,0
Road Construction,Public Works Department,Rajasthan,Kota,79894912.97,15318237.4,14864268.08,86.74,289,315,1.09,27,567342.13,1975213.98,5.45,9,Pending,281,1,79,5,56,16.8,0.05,0,4943.32,4530.57,4972.76,-0.0895,0.1917,0.1526,0
School Building,Education Department,Madhya Pradesh,Bhopal,63327191.69,31749769.34,22378454.22,45.17,583,625,1.072,20,1587488.47,3655192.87,3.68,0,Completed,280,1,47,8,43,15.72,0.13,1,112452.28,117393.12,112865.5,0.0403,0.5014,0.1616,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Kanpur,854953.96,538239.59,485899.64,71.0,783,254,0.3244,25,21529.58,50743.84,5.9,4,Completed,262,1,24,6,77,36.46,0.15,0,147823.81,162226.6,135993.39,0.1775,0.6296,0.0238,0
Housing Scheme,Housing Department,Kerala,Kozhikode,84552622.19,75555298.76,54942724.49,44.07,860,448,0.5209,8,9444412.35,35981950.19,6.23,12,Completed,73,1,58,10,82,7.7,0.17,0,24777.54,24792.74,22957.22,0.0741,0.8936,0.1246,0
Housing Scheme,Housing Department,Uttar Pradesh,Lucknow,48769983.59,63279978.55,43090893.83,21.07,637,938,1.4725,62,1020644.82,4186131.53,5.61,62,Failed,190,0,2,79,31,139.82,0.27,1,120510.21,199902.14,59475.62,1.1653,1.2975,0.9803,1
Housing Scheme,Housing Department,Karnataka,Hubballi,85635489.5,56330188.37,50745043.07,58.39,483,182,0.3768,31,1817102.85,7823715.94,2.55,9,Completed,107,0,1,8,75,28.86,0.13,0,29590.97,32844.13,25978.78,0.232,0.6578,0.1947,0
Water Pipeline,Water Resources Department,Maharashtra,Pune,31118390.09,12921493.98,11831898.8,54.61,429,177,0.4126,37,349229.57,1753043.65,5.05,18,Completed,294,1,60,5,7,42.37,0.09,0,144417.27,141489.55,139581.61,0.0132,0.4152,0.0313,0
Hospital Development,Health Department,Telangana,Khammam,63075156.39,52716329.85,28861373.61,13.01,726,623,0.8581,175,301236.17,692358.2,1.91,20,Pending,262,0,1,63,94,133.88,0.66,1,246777.65,398636.77,178657.88,0.8914,0.8358,0.7863,1
Drainage System,Municipal Administration,Madhya Pradesh,Bhopal,2571573.58,1473622.29,1194014.06,72.99,607,610,1.0049,26,56677.78,194955.95,5.72,5,Failed,292,1,70,12,18,43.92,0.22,0,93113.37,89262.86,85983.89,0.0352,0.573,0.1307,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Madurai,93034093.25,78820851.36,61392114.23,85.31,733,807,1.101,32,2463151.6,14083335.57,4.39,13,Failed,322,1,55,3,100,25.65,0.01,0,17943.45,17798.77,16586.91,0.0675,0.8472,0.1439,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Varanasi,11701084.77,7697636.27,5717640.31,52.15,212,143,0.6745,6,1282939.38,3684555.26,7.78,18,Failed,280,1,76,6,77,42.54,0.18,0,113279.51,106920.07,111867.72,-0.0437,0.6579,0.2023,0
Electricity Infrastructure,Energy Department,Kerala,Kollam,5032495.48,1784350.36,1341654.07,91.69,588,261,0.4439,18,99130.58,476911.2,9.0,9,Completed,140,1,62,8,63,21.09,0.17,0,80758.18,79305.83,78287.09,0.0126,0.3546,0.0759,0
Bridge Construction,Public Works Department,Karnataka,Belagavi,97790603.22,71376755.53,66724072.14,45.54,663,325,0.4902,9,7930750.61,31500497.81,7.26,10,Completed,147,1,55,12,47,3.72,0.13,0,121785.6,121468.32,118005.15,0.0284,0.7299,0.1618,0
Housing Scheme,Housing Department,Maharashtra,Nashik,77114190.65,56997715.43,55185267.15,73.15,666,589,0.8844,42,1357088.46,4220502.14,0.68,11,Completed,225,1,41,0,10,1.64,0.16,0,182913.56,198307.8,164242.33,0.1862,0.7391,0.0681,0
Hospital Development,Health Department,Uttar Pradesh,Prayagraj,81135099.71,75705931.61,63216946.76,71.78,79,25,0.3165,12,6308827.63,28895598.45,4.16,1,Completed,30,1,71,5,21,41.04,0.21,0,170667.75,191044.2,146573.99,0.2606,0.9331,0.1115,0
School Building,Education Department,Tamil Nadu,Chennai,48628035.81,27944846.26,21054352.02,88.85,830,564,0.6795,7,3992120.89,16730001.84,5.14,13,Failed,117,1,45,12,52,17.37,0.15,0,203473.12,219016.58,210319.22,0.0427,0.5747,0.1658,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Salem,78052721.04,16893678.76,14478575.67,85.64,598,645,1.0786,37,456585.91,842696.0,2.38,17,Completed,240,1,11,10,82,4.2,0.17,0,118743.04,119628.21,105497.33,0.119,0.2164,0.1265,0
Hospital Development,Health Department,Karnataka,Bengaluru,16659713.31,7772030.49,6098336.76,55.92,654,528,0.8073,47,165362.35,254565.78,4.6,18,Completed,286,1,25,1,64,13.92,0.17,0,118142.6,108547.35,114909.72,-0.0539,0.4665,0.0361,0
Hospital Development,Health Department,Kerala,Kochi,20236918.29,13774309.85,11933613.66,60.17,675,626,0.9274,4,3443577.46,18405646.22,1.66,5,Completed,202,1,65,1,90,20.79,0.1,0,7692.52,8444.15,7022.57,0.1848,0.6807,0.0197,0
School Building,Education Department,Gujarat,Vadodara,36617477.38,21034511.47,17980184.52,94.77,516,108,0.2093,7,3004930.21,13564398.01,2.12,7,Pending,138,1,66,9,24,9.99,0.02,0,212671.22,203714.46,204983.2,-0.006,0.5744,0.0583,0
Welfare Distribution,Social Welfare Department,Kerala,Kozhikode,71716314.43,49225048.97,36585918.77,69.59,771,244,0.3165,29,1697415.48,9652457.36,4.84,13,Completed,344,1,75,10,31,4.31,0.11,0,122646.04,130656.32,116092.3,0.1187,0.6864,0.0367,0
Electricity Infrastructure,Energy Department,Gujarat,Bhavnagar,86971581.95,67863326.15,62175669.66,89.73,1028,1217,1.1839,47,1443900.56,2233753.42,4.13,16,Completed,178,1,68,1,74,23.31,0.16,0,138150.76,148225.67,141164.48,0.0511,0.7803,0.0585,0
Housing Scheme,Housing Department,Telangana,Hyderabad,83559070.9,67230824.48,57304022.13,51.78,268,94,0.3507,47,1430443.07,4260437.02,8.69,16,Failed,310,0,6,11,35,32.83,0.18,0,64056.39,70027.23,63133.12,0.1076,0.8046,0.3561,0
Hospital Development,Health Department,Karnataka,Mangaluru,2459640.67,1601795.74,1145023.22,76.45,1053,885,0.8405,27,59325.77,191711.32,8.18,8,Pending,14,1,42,5,53,43.73,0.05,0,223463.55,247519.48,189377.87,0.2602,0.6512,0.1526,0
Hospital Development,Health Department,Madhya Pradesh,Gwalior,53535832.13,34291050.84,28577559.29,45.91,761,477,0.6268,12,2857587.57,13553377.87,4.99,9,Completed,216,1,61,7,57,12.34,0.0,0,139105.25,131213.29,128497.18,0.0195,0.6405,0.0675,0
Drainage System,Municipal Administration,Uttar Pradesh,Prayagraj,38616734.81,9448292.83,9341145.93,49.02,481,199,0.4137,4,2362073.21,5036558.78,5.87,4,Completed,300,1,46,8,16,18.71,0.03,0,51499.28,57277.43,52036.77,0.1018,0.2447,0.018,0
School Building,Education Department,Rajasthan,Udaipur,3543748.53,2038876.85,1442221.57,90.24,131,109,0.8321,3,679625.62,3401352.68,0.66,17,Completed,90,1,14,8,66,12.34,0.17,0,197478.22,188972.59,172002.07,0.0859,0.5753,0.0468,0
Drainage System,Municipal Administration,Andhra Pradesh,Kurnool,2033451.93,707509.35,547546.92,39.01,398,162,0.407,27,26204.05,38510.08,2.53,8,Pending,100,1,80,10,59,18.59,0.18,0,84288.55,90882.95,79783.81,0.1317,0.3479,0.1289,0
Bridge Construction,Public Works Department,Maharashtra,Aurangabad,25719780.75,25810626.79,25438693.29,55.8,698,739,1.0587,48,537721.39,3070755.79,7.94,17,Completed,104,1,13,8,3,31.06,0.15,0,244785.77,267222.55,213651.51,0.2188,1.0035,0.2213,0
Bridge Construction,Public Works Department,Andhra Pradesh,Visakhapatnam,76696957.94,74508230.13,48290360.36,54.46,185,173,0.9351,169,440877.1,1410379.65,6.34,26,Failed,129,0,1,34,34,184.59,0.4,1,72407.29,102520.95,27161.95,1.0408,0.9715,0.703,1
School Building,Education Department,Tamil Nadu,Madurai,95820992.84,92737509.52,78154080.29,39.09,850,880,1.0353,33,2810227.56,12121420.15,1.83,15,Failed,98,1,50,5,86,39.95,0.08,0,24061.37,26375.19,21915.48,0.1853,0.9678,0.2786,0
School Building,Education Department,Andhra Pradesh,Guntur,58503329.4,34024735.69,30474874.04,35.46,216,101,0.4676,44,773289.45,3314476.04,3.53,13,Completed,237,1,37,7,22,20.75,0.21,0,237737.31,232793.11,218152.67,0.0616,0.5816,0.1312,0
Hospital Development,Health Department,Madhya Pradesh,Bhopal,14826210.13,8899670.95,6255425.55,72.32,462,350,0.7576,15,593311.4,1999902.21,4.62,10,Completed,17,1,76,3,35,13.37,0.02,0,24967.43,24929.63,25136.23,-0.0083,0.6003,0.056,0
Water Pipeline,Water Resources Department,Maharashtra,Nashik,80329094.62,45438180.51,32310577.07,74.55,122,140,1.1475,35,1298233.73,7401623.45,5.96,8,Completed,358,1,45,8,44,35.39,0.18,0,214679.3,215904.98,225273.9,-0.0436,0.5657,0.0323,0
Water Pipeline,Water Resources Department,Rajasthan,Ajmer,44879974.22,41167961.33,34693792.44,89.57,692,830,1.1994,30,1372265.38,7291047.07,4.59,14,Completed,331,1,55,2,24,35.64,0.18,0,41780.13,45487.5,36162.59,0.2232,0.9173,0.1401,0
Bridge Construction,Public Works Department,Telangana,Nizamabad,2815215.31,1846316.04,1791235.03,38.09,519,449,0.8651,14,131879.72,780065.91,6.19,3,Completed,211,1,16,7,59,44.66,0.02,0,247430.41,227084.09,226498.29,0.0024,0.6558,0.1366,0
Bridge Construction,Public Works Department,Tamil Nadu,Coimbatore,62446376.86,40598807.72,37443448.97,97.32,631,142,0.225,19,2136779.35,10588626.45,7.38,12,Completed,317,0,1,12,3,34.04,0.14,0,173721.69,178521.01,180593.85,-0.0119,0.6501,0.1013,0
Housing Scheme,Housing Department,Karnataka,Mysuru,95749106.74,27832007.61,21392119.36,70.52,81,43,0.5309,41,678829.45,1755844.93,6.12,4,Completed,248,1,22,9,31,23.52,0.11,0,207100.18,206657.97,191010.05,0.0756,0.2907,0.0875,0
Housing Scheme,Housing Department,Maharashtra,Mumbai,18473529.77,6765909.45,5823672.8,73.75,68,79,1.1618,17,397994.67,2199885.35,0.78,12,Completed,168,0,9,11,89,24.71,0.07,0,172799.28,178482.81,178828.82,-0.002,0.3662,0.1374,0
Drainage System,Municipal Administration,Andhra Pradesh,Nellore,29565895.81,20849552.56,19865321.64,95.83,724,584,0.8066,53,393387.78,895829.15,5.87,5,Completed,123,1,21,3,47,35.94,0.01,0,194514.88,182191.07,177656.21,0.0233,0.7052,0.001,0
Hospital Development,Health Department,Rajasthan,Jodhpur,77983013.96,89819898.36,79394841.72,58.04,130,173,1.3308,130,690922.3,2899369.1,4.65,88,Completed,118,1,23,19,71,37.48,0.57,1,200216.93,290595.54,146582.17,0.7193,1.1518,0.6301,1
Bridge Construction,Public Works Department,Uttar Pradesh,Varanasi,40029462.74,18156414.3,14375694.89,74.57,250,71,0.284,19,955600.75,4900048.48,7.53,3,Completed,71,1,48,12,75,29.07,0.05,0,114837.18,108391.44,106644.96,0.0152,0.4536,0.0478,0
Bridge Construction,Public Works Department,Rajasthan,Kota,38186336.83,38066496.27,31432401.8,55.77,426,127,0.2981,12,3172208.02,15019928.69,0.69,5,Completed,70,1,21,5,15,36.38,0.07,0,81277.07,74081.82,73924.76,0.0019,0.9969,0.1577,0
Road Construction,Public Works Department,Maharashtra,Mumbai,52781592.35,64864434.99,54431831.54,6.35,1050,1121,1.0676,137,473463.03,1967049.89,6.83,93,Completed,3,0,0,19,77,195.02,0.61,1,66695.89,84978.53,26567.69,0.8758,1.2289,0.7733,1
Road Construction,Public Works Department,Tamil Nadu,Tiruchirappalli,86074611.62,92571474.52,51867385.95,12.42,640,1240,1.9375,117,791209.18,1363466.8,2.29,53,Pending,144,0,1,20,49,106.13,0.32,0,3072.86,4713.89,2152.07,0.8337,1.0755,0.75,1
Hospital Development,Health Department,Maharashtra,Aurangabad,96342302.4,100519960.93,82794242.24,31.31,201,324,1.6119,105,957332.96,2523679.9,7.6,19,Failed,225,1,19,22,37,155.03,0.41,1,89089.2,158295.8,55185.68,1.1574,1.0434,0.7805,1
Hospital Development,Health Department,Tamil Nadu,Chennai,97636787.45,85655401.39,71860034.09,86.2,421,201,0.4774,12,7137950.12,20301005.39,0.64,8,Completed,8,1,21,2,44,41.94,0.08,0,157050.53,159375.34,147987.17,0.0725,0.8773,0.0284,0
Electricity Infrastructure,Energy Department,Tamil Nadu,Chennai,46597683.42,36924894.23,33247978.81,66.77,89,60,0.6742,6,6154149.04,32729417.43,7.04,11,Completed,85,1,45,11,56,7.26,0.17,0,43081.84,46984.99,43691.91,0.0764,0.7924,0.1157,0
Road Construction,Public Works Department,Rajasthan,Jaipur,60552199.44,42290875.53,34372760.77,58.18,129,52,0.4031,30,1409695.85,6317986.5,2.79,7,Completed,345,1,13,0,69,22.51,0.21,0,111185.92,114630.92,99511.2,0.136,0.6984,0.1239,0
Housing Scheme,Housing Department,Uttar Pradesh,Varanasi,69818716.62,85192446.51,76663300.48,31.22,858,1150,1.3403,119,715902.91,1923923.65,4.18,35,Completed,63,1,20,25,56,110.16,0.45,1,210909.4,355015.16,150712.98,0.9687,1.2202,0.7212,1
Housing Scheme,Housing Department,Maharashtra,Mumbai,13540976.03,19611784.66,9685724.43,13.27,898,934,1.0401,173,113362.92,213334.82,3.92,78,Pending,205,0,1,28,4,56.07,0.68,0,147235.87,227489.43,68944.35,1.0768,1.4483,0.741,1
School Building,Education Department,Karnataka,Bengaluru,78648728.84,109524690.55,103237031.5,58.36,168,294,1.75,68,1610657.21,2281785.17,6.54,71,Pending,202,0,8,64,76,71.37,0.23,0,16623.0,19143.0,8018.77,0.6692,1.3926,0.7147,1
School Building,Education Department,Madhya Pradesh,Gwalior,66794846.94,47413759.29,36340606.34,51.8,613,498,0.8124,55,862068.35,4883189.85,4.69,11,Completed,164,1,23,11,87,12.2,0.22,1,78434.2,83060.92,68556.58,0.1849,0.7098,0.2425,0
Welfare Distribution,Social Welfare Department,Kerala,Thiruvananthapuram,29654018.78,34987172.1,16304973.77,51.09,105,157,1.4952,35,999633.49,5778325.37,8.4,68,Pending,348,0,5,82,96,68.53,0.47,0,249847.48,323309.76,145915.99,0.71,1.1798,0.6631,1
Road Construction,Public Works Department,Gujarat,Rajkot,89902493.32,79502646.65,74677360.0,49.18,407,344,0.8452,17,4676626.27,26203424.7,1.49,8,Completed,299,1,44,0,50,18.63,0.09,0,158877.94,176572.29,145329.04,0.1966,0.8843,0.1287,0
Electricity Infrastructure,Energy Department,Madhya Pradesh,Ujjain,73286830.9,73644289.64,69992888.66,75.32,413,152,0.368,38,1938007.62,5900592.39,1.32,3,Pending,128,0,5,3,80,43.72,0.18,0,236502.5,235167.92,245254.71,-0.0426,1.0049,0.2031,0
Road Construction,Public Works Department,Tamil Nadu,Chennai,40086143.79,47278385.21,39344235.98,13.77,746,1098,1.4718,51,927027.16,4888360.12,7.84,89,Pending,197,0,0,20,13,86.11,0.81,1,109658.97,173437.28,73966.31,0.9071,1.1794,0.8816,1
Hospital Development,Health Department,Andhra Pradesh,Kurnool,76556548.18,28274477.11,26242553.84,92.89,280,228,0.8143,9,3141608.57,11473815.37,6.95,13,Completed,337,1,51,2,14,11.28,0.08,0,248724.22,247398.93,251216.69,-0.0153,0.3693,0.0,0
Housing Scheme,Housing Department,Karnataka,Belagavi,52957145.83,27635236.88,21768349.71,82.57,675,237,0.3511,43,642679.93,3765204.04,0.75,15,Completed,107,1,19,5,93,39.44,0.11,0,86214.42,92457.05,85327.48,0.0827,0.5218,0.0919,0
Drainage System,Municipal Administration,Kerala,Thrissur,60047005.03,34225152.73,28361055.8,80.7,585,276,0.4718,30,1140838.42,6306139.63,4.36,1,Completed,128,1,59,11,51,36.42,0.18,0,1314.6,1266.19,1161.62,0.0795,0.57,0.0829,0
Hospital Development,Health Department,Telangana,Karimnagar,29975969.6,25357537.61,20510897.85,99.58,179,151,0.8436,25,1014301.5,3159094.31,2.35,14,Completed,37,1,70,4,28,43.49,0.13,0,165873.68,172167.17,159726.36,0.075,0.8459,0.0179,0
